2026-02-22 14:44:58,865 INFO cron.leakage_nightly leakage_nightly start tenants=['mover_a', 'mover_b']
2026-02-22 14:45:03,167 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=How far in advance should I book?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:07,247 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Do you move to Alaska and Hawaii?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:11,363 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Can I get a refund if I cancel?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:15,473 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=My furniture was scratched during the move. What d: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:19,571 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Book a move for next Friday: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:23,648 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=How do I reach someone about my delayed shipment?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:27,730 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Do you handle piano or pool table moves?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:31,820 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Is the quote binding or can the price change?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:35,880 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=What should I do before the movers arrive?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:39,963 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=International moves to Canada?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:44,023 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Deposit requirements: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:45:48,077 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Valuation coverage vs basic liability: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
